chr	start	end	length	abs_summit	pileup	-LOG10(pvalue)	fold_enrichment	-LOG10(qvalue)	name
chr10	41668344	41668717	374	41668527	25	14.688	6.13428	10.86294	o2_uniq_peak_296
chr10	42756493	42756937	445	42756706	60	48.82185	12.25275	44.42149	o2_uniq_peak_297
chr10	45576478	45576844	367	45576660	15	13.98962	8.15935	10.18233	o2_uniq_peak_298
chr10	46918681	46918976	296	46918855	13	8.86558	5.46799	5.24854	o2_uniq_peak_299
chr10	53598296	53598754	459	53598531	37	28.14306	9.63471	24.03403	o2_uniq_peak_300
chr10	54468619	54469121	503	54468870	45	58.27104	23.06205	53.7563	o2_uniq_peak_301
chr10	54469495	54470043	549	54469763	76	77.88296	19.32801	73.11594	o2_uniq_peak_302
chr10	56818876	56819273	398	56819062	31	13.10004	4.59261	9.32187	o2_uniq_peak_303
chr10	56918367	56918679	313	56918529	14	12.55585	7.52023	8.79724	o2_uniq_peak_304
chr10	61211028	61211366	339	61211176	28	10.94436	4.16205	7.24388	o2_uniq_peak_305
chr10	62345425	62345807	383	62345728	12	6.70947	4.34894	3.22655	o2_uniq_peak_306
chr10	63907947	63908351	405	63908121	19	10.12041	5.02026	6.44819	o2_uniq_peak_307
chr10	63934176	63934568	393	63934346	34	26.32016	9.58992	22.24366	o2_uniq_peak_308
chr10	65308810	65309210	401	65309004	20	18.08172	9.26763	14.17055	o2_uniq_peak_309
chr10	70055461	70055792	332	70055607	34	20.7013	7.03027	16.73208	o2_uniq_peak_310
chr10	70275063	70275377	315	70275319	15	8.96335	5.12865	5.34357	o2_uniq_peak_311
chr10	70576953	70577406	454	70577214	45	27.80709	7.7012	23.70548	o2_uniq_peak_312
chr10	72433659	72434239	581	72433949	124	151.21301	31.37663	145.51492	o2_uniq_peak_313
chr10	76645876	76646314	439	76646117	43	25.8821	7.36637	21.81222	o2_uniq_peak_314
chr10	79372450	79372854	405	79372638	33	22.48298	8.02175	18.48121	o2_uniq_peak_315
chr10	79410686	79411219	534	79410960	102	122.03378	28.45128	116.7047	o2_uniq_peak_316
chr10	81666714	81667009	296	81666862	11	9.27215	6.11951	5.63494	o2_uniq_peak_317
chr10	82931400	82931796	397	82931588	36	26.83239	9.28748	22.74567	o2_uniq_peak_318
chr10	84438715	84439280	566	84438994	74	96.79914	29.98229	91.77816	o2_uniq_peak_319
chr10	84684637	84685026	390	84684826	31	15.21736	5.35736	11.38051	o2_uniq_peak_320
chr10	90604528	90604831	304	90604661	17	13.38824	7.28145	9.60232	o2_uniq_peak_321
chr10	91788384	91788753	370	91788562	24	15.29197	6.63583	11.45059	o2_uniq_peak_322
chr10	91884997	91885382	386	91885189	23	15.61094	7.02959	11.76059	o2_uniq_peak_323
chr10	92659742	92660261	520	92660002	97	95.46845	19.13427	90.46804	o2_uniq_peak_324
chr10	94589351	94589784	434	94589600	45	27.80709	7.7012	23.70548	o2_uniq_peak_325
chr10	94967958	94968364	407	94968088	16	7.69787	4.26722	4.14171	o2_uniq_peak_326
chr10	96383645	96383974	330	96383813	24	11.85394	5.02162	8.11556	o2_uniq_peak_327
chr10	98363392	98363762	371	98363599	20	14.25886	7.0252	10.44584	o2_uniq_peak_328
chr10	99866154	99866566	413	99866348	20	19.86172	10.34266	15.91025	o2_uniq_peak_329
chr10	105055174	105055501	328	105055347	27	14.35618	5.62421	10.54022	o2_uniq_peak_330
chr10	107946886	107947253	368	107947030	22	10.26879	4.61989	6.58687	o2_uniq_peak_331
chr10	108375649	108375944	296	108375816	13	11.37551	7.01889	7.65254	o2_uniq_peak_332
chr10	108947163	108947684	522	108947441	67	65.38625	17.06889	60.7841	o2_uniq_peak_333
chr10	109378927	109379276	350	109379092	31	30.40347	12.79245	26.25498	o2_uniq_peak_334
chr10	111588478	111589058	581	111588763	81	75.20677	16.47091	70.47755	o2_uniq_peak_335
chr10	112378823	112379290	468	112379037	32	27.44307	10.78132	23.34846	o2_uniq_peak_336
chr10	113791783	113792115	333	113791948	11	8.0679	5.3655	4.49364	o2_uniq_peak_337
chr10	113924226	113924699	474	113924467	62	58.66138	15.81382	54.14231	o2_uniq_peak_338
chr10	114237442	114237813	372	114237619	17	8.48274	4.51824	4.87881	o2_uniq_peak_339
chr10	114927404	114927733	330	114927553	21	13.63053	6.44379	9.83862	o2_uniq_peak_340
chr10	115438285	115438765	481	115438530	30	20.45041	7.78141	16.48635	o2_uniq_peak_341
chr10	116553969	116554447	479	116554230	29	24.0426	9.89639	20.00851	o2_uniq_peak_342
chr10	116864577	116865027	451	116864781	40	33.29608	11.23391	29.10409	o2_uniq_peak_343
chr10	129921631	129922070	440	129921866	29	24.22046	9.99344	20.18407	o2_uniq_peak_344
chr10	135523712	135524161	450	135523948	26	20.80444	9.0324	16.83295	o2_uniq_peak_345
chr10	135634409	135634826	418	135634593	18	16.2211	8.72509	12.35684	o2_uniq_peak_346
chr10	135804506	135804929	424	135804718	33	14.60375	4.87965	10.78035	o2_uniq_peak_347
chr10	136042426	136042742	317	136042581	23	13.63901	6.02431	9.84494	o2_uniq_peak_348
chr10	136712779	136713083	305	136712932	25	14.688	6.13428	10.86294	o2_uniq_peak_349
chr10	137427083	137427458	376	137427298	31	15.21736	5.35736	11.38051	o2_uniq_peak_350
chr10	137505473	137505768	296	137505606	11	9.27215	6.11951	5.63494	o2_uniq_peak_351
chr10	140282326	140282644	319	140282431	7	5.006	4.01079	1.75991	o2_uniq_peak_352
chr10	140378049	140378390	342	140378221	21	9.50311	4.41902	5.85017	o2_uniq_peak_353
chr10	140843601	140844017	417	140843801	21	12.83845	6.02795	9.0675	o2_uniq_peak_354
chr10	140853158	140853730	573	140853382	17	13.38824	7.28145	9.60232	o2_uniq_peak_355
chr10	141613011	141613380	370	141613192	33	23.23688	8.3706	19.21683	o2_uniq_peak_356
chr10	141685880	141686327	448	141686102	29	19.12894	7.38583	15.1949	o2_uniq_peak_357
chr10	142482586	142482978	393	142482782	35	30.11846	11.22176	25.97844	o2_uniq_peak_358
chr10	142818710	142819159	450	142818947	20	20.4697	10.70915	16.50369	o2_uniq_peak_359
chr10	143933706	143934166	461	143933937	83	81.99338	18.53124	77.16817	o2_uniq_peak_360
chr10	146930958	146931267	310	146931119	14	12.55585	7.52023	8.79724	o2_uniq_peak_361
chr10	147597445	147597749	305	147597581	19	14.86842	7.6358	11.03903	o2_uniq_peak_362
chr10	148926469	148926808	340	148926625	21	16.95758	8.30602	13.07276	o2_uniq_peak_363
chr10	148981622	148981935	314	148981789	19	12.73513	6.41081	8.96919	o2_uniq_peak_364
chr10	149370931	149371237	307	149371083	34	11.8362	3.90758	8.10277	o2_uniq_peak_365
chr10	149613467	149613804	338	149613613	20	8.75638	4.21816	5.14176	o2_uniq_peak_366
chr10	149998526	149999099	574	149998846	84	117.83604	36.10456	112.55544	o2_uniq_peak_367
chr2	864084	864379	296	864241	11	9.10606	6.01619	5.48085	o2_uniq_peak_368
chr2	1463047	1463574	528	1463296	101	164.16116	52.01587	158.29745	o2_uniq_peak_369
chr2	1557575	1557886	312	1557809	23	11.39384	4.97173	7.67025	o2_uniq_peak_370
chr2	1719894	1720310	417	1720097	37	26.83274	9.02819	22.74591	o2_uniq_peak_371
chr2	1966753	1967048	296	1966877	17	8.63801	4.59813	5.02942	o2_uniq_peak_372
chr2	2479031	2479392	362	2479188	15	9.49629	5.43647	5.84564	o2_uniq_peak_373
chr2	3577240	3577535	296	3577374	18	9.24581	4.7465	5.61213	o2_uniq_peak_374
chr2	4700358	4700692	335	4700530	24	11.86316	5.02563	8.12459	o2_uniq_peak_375
chr2	5081066	5081521	456	5081283	42	30.99853	9.61108	26.84198	o2_uniq_peak_376
chr2	5081875	5082402	528	5082119	85	89.2179	20.87016	84.29763	o2_uniq_peak_377
chr2	5819816	5820245	430	5820030	34	24.6554	8.78546	20.60701	o2_uniq_peak_378
chr2	5866665	5867153	489	5866912	33	34.87532	14.62471	30.65824	o2_uniq_peak_379
chr2	9353001	9353421	421	9353222	37	34.10973	12.65836	29.90392	o2_uniq_peak_380
chr2	9647161	9647644	484	9647417	39	38.77571	14.459	34.50551	o2_uniq_peak_381
chr2	9830407	9830886	480	9830639	48	35.08987	9.84237	30.86902	o2_uniq_peak_382
chr2	9979935	9980255	321	9980127	13	11.50892	7.10104	7.7841	o2_uniq_peak_383
chr2	10210075	10210743	669	10210384	51	30.10463	7.46299	25.96479	o2_uniq_peak_384
chr2	10553965	10554489	525	10554229	74	84.96464	23.5952	80.10104	o2_uniq_peak_385
chr2	11163538	11163953	416	11163754	22	23.21009	11.72907	19.19037	o2_uniq_peak_386
chr2	13250510	13251233	724	13250800	33	23.58499	8.53444	19.55883	o2_uniq_peak_387
chr2	13594867	13595194	328	13595021	17	10.99897	5.88072	7.29276	o2_uniq_peak_388
chr2	13647971	13648447	477	13648199	48	63.32217	24.5661	58.74797	o2_uniq_peak_389
chr2	13706168	13706527	360	13706378	35	21.1667	7.02892	17.18995	o2_uniq_peak_390
chr2	14207758	14208160	403	14207953	19	10.12041	5.02026	6.44819	o2_uniq_peak_391
chr2	14227068	14227455	388	14227281	28	18.58093	7.35281	14.65857	o2_uniq_peak_392
chr2	14353932	14354416	485	14354190	51	55.80991	18.7967	51.32816	o2_uniq_peak_393
chr2	14463790	14464185	396	14463986	24	18.19876	8.16767	14.28532	o2_uniq_peak_394
chr2	14719333	14719661	329	14719525	15	12.66488	7.34744	8.9041	o2_uniq_peak_395
chr2	14720620	14721145	526	14720879	66	74.4025	21.88934	69.6833	o2_uniq_peak_396
chr2	14734097	14734546	450	14734290	23	17.45226	8.0288	13.5552	o2_uniq_peak_397
chr2	15481121	15481477	357	15481302	11	6.8986	4.63356	3.40757	o2_uniq_peak_398
chr2	16354344	16354841	498	16354615	50	29.16338	7.31948	25.03735	o2_uniq_peak_399
chr2	16427703	16428118	416	16427868	19	16.49006	8.60277	12.61676	o2_uniq_peak_400
chr2	18045030	18045398	369	18045202	29	19.59061	7.60635	15.64572	o2_uniq_peak_401
chr2	18350147	18350511	365	18350357	21	17.96722	8.89955	14.05665	o2_uniq_peak_402
chr2	19327939	19328297	359	19328078	13	9.29528	5.73161	5.6535	o2_uniq_peak_403
chr2	19375024	19375375	352	19375197	15	10.98551	6.32182	7.28082	o2_uniq_peak_404
chr2	20411084	20411513	430	20411310	40	29.38595	9.41178	25.25632	o2_uniq_peak_405
chr2	20484003	20484298	296	20484157	14	11.38084	6.79634	7.65769	o2_uniq_peak_406
chr2	21147252	21147876	625	21147629	44	35.9796	11.29559	31.74697	o2_uniq_peak_407
chr2	21208941	21209366	426	21209140	15	10.08685	5.7836	6.41747	o2_uniq_peak_408
chr2	23000275	23000570	296	23000428	12	10.22486	6.51754	6.5458	o2_uniq_peak_409
chr2	26297373	26297803	431	26297596	28	30.32622	13.8802	26.1826	o2_uniq_peak_410
chr2	26994828	26995123	296	26994972	14	8.44296	5.018	4.84432	o2_uniq_peak_411
chr2	30398256	30398608	353	30398425	21	21.51512	11.02968	17.53046	o2_uniq_peak_412
chr2	31599073	31599368	296	31599217	10	8.17282	5.60955	4.59184	o2_uniq_peak_413
chr2	33409378	33409908	531	33409638	108	154.89735	42.08821	149.1577	o2_uniq_peak_414
chr2	35064661	35064956	296	35064788	13	9.89039	6.09918	6.22805	o2_uniq_peak_415
chr2	36035601	36035960	360	36035770	23	13.94856	6.1773	10.14489	o2_uniq_peak_416
chr2	38559747	38560042	296	38559913	10	8.17282	5.60955	4.59184	o2_uniq_peak_417
chr2	39795980	39796482	503	39796230	48	40.78917	12.29964	36.48938	o2_uniq_peak_418
chr2	40263186	40263741	556	40263460	45	58.27104	23.06205	53.7563	o2_uniq_peak_419
chr2	42861216	42861795	580	42861519	102	116.37688	25.85435	111.11261	o2_uniq_peak_420
chr2	43138906	43139352	447	43139097	26	20.41964	8.82108	16.45819	o2_uniq_peak_421
chr2	43836260	43836588	329	43836405	23	17.45226	8.0288	13.5552	o2_uniq_peak_422
chr2	43857127	43857496	370	43857311	23	20.37567	9.7086	16.41527	o2_uniq_peak_423
chr2	44259573	44260046	474	44259792	51	44.48893	13.05268	40.14067	o2_uniq_peak_424
chr2	44373937	44374412	476	44374209	34	41.02545	17.84858	36.72302	o2_uniq_peak_425
chr2	44389190	44389485	296	44389318	9	6.31244	4.59215	2.87001	o2_uniq_peak_426
chr2	45518265	45518578	314	45518428	16	10.28679	5.68707	6.60258	o2_uniq_peak_427
chr2	48148026	48148596	571	48148299	66	74.4025	21.88934	69.6833	o2_uniq_peak_428
chr2	49461269	49461616	348	49461434	14	11.84005	7.07966	8.10534	o2_uniq_peak_429
chr2	49513099	49513466	368	49513280	23	17.45226	8.0288	13.5552	o2_uniq_peak_430
chr2	49744676	49745122	447	49744888	48	35.08987	9.84237	30.86902	o2_uniq_peak_431
chr2	51231362	51231814	453	51231561	62	54.27475	13.89843	49.80979	o2_uniq_peak_432
chr2	51815680	51816058	379	51815902	22	12.73116	5.7733	8.96548	o2_uniq_peak_433
chr2	54256630	54256925	296	54256819	21	9.22418	4.29545	5.59079	o2_uniq_peak_434
chr2	56107805	56108173	369	56107968	13	10.71054	6.60768	7.0142	o2_uniq_peak_435
chr2	56923641	56923954	314	56923789	23	13.76242	6.08508	9.96659	o2_uniq_peak_436
chr2	61286729	61287055	327	61286875	19	9.51365	4.71867	5.85963	o2_uniq_peak_437
chr2	61861021	61861407	387	61861206	27	18.74406	7.67194	14.81731	o2_uniq_peak_438
chr2	63937563	63938015	453	63937796	61	57.33648	15.56281	52.83328	o2_uniq_peak_439
chr2	65755864	65756366	503	65756110	62	77.34757	25.48507	72.59094	o2_uniq_peak_440
chr2	66106975	66107486	512	66107210	97	98.49603	20.30123	93.45032	o2_uniq_peak_441
chr2	72812621	72813093	473	72812844	72	69.78246	17.22316	65.12469	o2_uniq_peak_442
chr2	74036774	74037296	523	74037029	50	49.02843	15.61096	44.62447	o2_uniq_peak_443
chr2	74560448	74560834	387	74560643	30	20.49282	7.80166	16.52657	o2_uniq_peak_444
chr2	76272412	76272990	579	76272726	87	107.51706	28.75018	102.36504	o2_uniq_peak_445
chr2	78234014	78234370	357	78234214	18	9.52771	4.89037	5.87342	o2_uniq_peak_446
chr2	78404764	78405220	457	78404992	23	17.45226	8.0288	13.5552	o2_uniq_peak_447
chr2	86321398	86321754	357	86321593	8	5.37838	4.13294	2.05578	o2_uniq_peak_448
chr2	86351160	86351514	355	86351351	28	10.94436	4.16205	7.24388	o2_uniq_peak_449
chr2	87603518	87604090	573	87603830	87	83.20122	17.6761	78.36002	o2_uniq_peak_450
chr2	88500808	88501275	468	88501015	18	14.20144	7.50716	10.39069	o2_uniq_peak_451
chr2	88584201	88584503	303	88584362	16	10.28679	5.68707	6.60258	o2_uniq_peak_452
chr2	91279824	91280292	469	91280037	35	30.92568	11.64939	26.77025	o2_uniq_peak_453
chr2	94667387	94667790	404	94667589	12	10.40583	6.62947	6.71694	o2_uniq_peak_454
chr2	98431343	98431789	447	98431554	28	15.22112	5.82508	11.38265	o2_uniq_peak_455
chr2	98902349	98902672	324	98902508	23	16.45542	7.48117	12.58489	o2_uniq_peak_456
chr2	99213167	99213615	449	99213400	39	45.5701	18.3686	41.20938	o2_uniq_peak_457
chr2	100165570	100166028	459	100165800	31	29.64626	12.35617	25.51351	o2_uniq_peak_458
chr2	103441795	103442155	361	103441977	25	16.26675	6.90126	12.40092	o2_uniq_peak_459
chr2	104298317	104298827	511	104298576	62	51.21508	12.65448	46.78453	o2_uniq_peak_460
chr2	105401970	105402269	300	105402120	12	7.54544	4.85415	4.00289	o2_uniq_peak_461
chr2	107826059	107826354	296	107826204	21	12.03726	5.61994	8.29268	o2_uniq_peak_462
chr2	108929385	108929869	485	108929631	36	38.83802	15.71611	34.56667	o2_uniq_peak_463
chr2	114731092	114731567	476	114731315	44	49.529	18.42303	45.12214	o2_uniq_peak_464
chr2	118043893	118044281	389	118044020	13	6.68146	4.17256	3.20473	o2_uniq_peak_465
chr2	119296244	119296557	314	119296418	21	11.16428	5.19054	7.45081	o2_uniq_peak_466
chr2	119344167	119344462	296	119344402	12	5.3539	3.56197	2.04039	o2_uniq_peak_467
chr2	120211701	120212076	376	120211910	30	16.99424	6.22681	13.10734	o2_uniq_peak_468
chr2	121583403	121583841	439	121583626	39	31.74887	10.7859	27.58125	o2_uniq_peak_469
chr2	123415704	123416177	474	123415946	68	61.9242	15.22209	57.36519	o2_uniq_peak_470
chr2	125289215	125289510	296	125289369	14	9.32378	5.54004	5.68132	o2_uniq_peak_471
chr2	125451897	125452368	472	125452133	64	47.76141	10.88213	43.37233	o2_uniq_peak_472
chr2	125997935	125998292	358	125998130	49	22.82802	5.58226	18.81746	o2_uniq_peak_473
chr2	128100663	128101176	514	128100953	22	18.79493	9.08762	14.86782	o2_uniq_peak_474
chr2	128586257	128586600	344	128586413	18	12.22871	6.35614	8.4768	o2_uniq_peak_475
chr2	129613364	129613817	454	129613578	36	32.38985	12.08815	28.21134	o2_uniq_peak_476
chr2	130045244	130045764	521	130045495	51	27.04613	6.53075	22.95603	o2_uniq_peak_477
chr2	130256125	130256584	460	130256353	61	44.43117	10.37988	40.08642	o2_uniq_peak_478
chr2	133570548	133571068	521	133570807	79	97.1265	27.457	92.10085	o2_uniq_peak_479
chr2	134602477	134602831	355	134602646	18	9.7481	5.00412	6.09	o2_uniq_peak_480
chr2	135629448	135629893	446	135629648	46	38.36615	11.79762	34.09965	o2_uniq_peak_481
chr2	135721333	135721819	487	135721562	60	51.77845	13.45721	47.34388	o2_uniq_peak_482
chr2	136469829	136470285	457	136470126	18	9.29063	4.76925	5.649	o2_uniq_peak_483
chr2	136562469	136562977	509	136562728	67	63.33397	16.15571	58.75938	o2_uniq_peak_484
chr2	137273592	137273955	364	137273769	36	19.37356	6.16161	15.43461	o2_uniq_peak_485
chr2	137646499	137646902	404	137646712	34	20.22398	6.83367	16.2674	o2_uniq_peak_486
chr2	138548886	138549327	442	138549119	31	24.50574	9.53727	20.46392	o2_uniq_peak_487
chr2	139603073	139603397	325	139603267	17	11.24616	6.0216	7.52784	o2_uniq_peak_488
chr2	140220281	140220627	347	140220482	20	10.32903	4.95461	6.64316	o2_uniq_peak_489
chr2	140889922	140890286	365	140890109	25	20.07646	8.92353	16.12229	o2_uniq_peak_490
chr2	141363154	141363615	462	141363393	36	43.64589	18.54991	39.30915	o2_uniq_peak_491
chr2	143222322	143222639	318	143222537	24	15.71513	6.84995	11.86099	o2_uniq_peak_492
chr2	145022485	145022818	334	145022653	27	11.99296	4.66284	8.24971	o2_uniq_peak_493
chr2	148840868	148841338	471	148841103	95	66.94322	10.71793	62.32263	o2_uniq_peak_494
chr2	149336049	149336390	342	149336242	31	21.48212	8.03242	17.49831	o2_uniq_peak_495
chr2	149672259	149672689	431	149672472	29	16.10063	6.02594	12.23845	o2_uniq_peak_496
chr2	151024719	151025188	470	151024973	31	21.48212	8.03242	17.49831	o2_uniq_peak_497
chr2	151533275	151533915	641	151533600	151	163.3759	25.44745	157.52342	o2_uniq_peak_498
chr2	152527815	152528125	311	152527961	20	7.12921	3.51577	3.61312	o2_uniq_peak_499
chr2	153113047	153113556	510	153113287	67	57.31579	13.6588	52.81438	o2_uniq_peak_500
chr2	155072445	155072772	328	155072582	29	18.47215	7.07801	14.55288	o2_uniq_peak_501
chr2	157237517	157237812	296	157237661	12	9.34469	5.9698	5.7008	o2_uniq_peak_502
chr2	158406702	158407081	380	158406710	13	4.68665	3.08854	1.51546	o2_uniq_peak_503
chr2	161795034	161795596	563	161795319	104	122.80637	27.87048	117.46552	o2_uniq_peak_504
chr2	165262940	165263262	323	165263087	23	11.05264	4.82075	7.34321	o2_uniq_peak_505
chr2	171419900	171420364	465	171420126	34	30.39947	11.70867	26.25187	o2_uniq_peak_506
chr2	173108042	173108508	467	173108280	79	90.10172	23.84318	85.1683	o2_uniq_peak_507
chr2	173146586	173147055	470	173146787	17	15.01193	8.26587	11.17786	o2_uniq_peak_508
chr2	176192796	176193356	561	176193049	37	43.33994	17.93513	39.00696	o2_uniq_peak_509
chr2	176228792	176229144	353	176228970	14	10.56269	6.2927	6.86992	o2_uniq_peak_510
chr2	181859601	181859960	360	181859799	24	14.56439	6.27533	10.7419	o2_uniq_peak_511
chr2	186653890	186654217	328	186654056	19	11.01487	5.47996	7.30782	o2_uniq_peak_512
chr2	186795069	186795922	854	186795678	57	57.79814	17.2863	53.28961	o2_uniq_peak_513
chr2	187124607	187125052	446	187124824	23	19.2679	9.06112	15.33205	o2_uniq_peak_514
chr2	189134762	189135295	534	189135025	56	78.00414	29.06769	73.23538	o2_uniq_peak_515
chr2	192322585	192322959	375	192322747	17	7.94638	4.24681	4.38075	o2_uniq_peak_516
chr2	192930578	192931076	499	192930845	55	58.97392	18.73388	54.45083	o2_uniq_peak_517
chr2	195036366	195036829	464	195036588	18	12.22871	6.35614	8.4768	o2_uniq_peak_518
chr2	195194376	195194686	311	195194538	18	13.11739	6.86803	9.33801	o2_uniq_peak_519
chr2	195733762	195734233	472	195734003	97	96.91216	19.68474	91.88919	o2_uniq_peak_520
chr2	196468530	196468853	324	196468698	15	11.2341	6.4724	7.51845	o2_uniq_peak_521
chr2	197578510	197578961	452	197578752	35	16.15722	5.16669	12.29459	o2_uniq_peak_522
chr2	197598215	197598660	446	197598410	25	17.916	7.74903	14.00687	o2_uniq_peak_523
chr2	197954647	197955040	394	197954806	15	8.96335	5.12865	5.34357	o2_uniq_peak_524
chr2	197956550	197956907	358	197956727	23	14.73843	6.57595	10.91138	o2_uniq_peak_525
chr2	198585351	198585646	296	198585474	21	11.84157	5.52229	8.10534	o2_uniq_peak_526
chr2	198708997	198709537	541	198709264	108	136.62082	32.48633	131.10849	o2_uniq_peak_527
chr2	199390532	199390848	317	199390683	8	5.37838	4.13294	2.05578	o2_uniq_peak_528
chr2	201235416	201235823	408	201235616	45	44.84613	15.38854	40.49391	o2_uniq_peak_529
chr2	201699684	201700014	331	201699859	22	16.36918	7.69427	12.49968	o2_uniq_peak_530
chr2	202023661	202024217	557	202023925	126	139.02905	25.50982	133.48692	o2_uniq_peak_531
chr2	203759493	203759847	355	203759655	14	12.76659	7.64939	8.99801	o2_uniq_peak_532
chr2	204490335	204490774	440	204490523	35	21.65933	7.23113	17.67097	o2_uniq_peak_533
chr2	206072246	206072825	580	206072560	120	144.74518	30.37258	139.13867	o2_uniq_peak_534
chr2	206366057	206366477	421	206366275	35	18.58935	6.02703	14.66616	o2_uniq_peak_535
chr2	208340231	208340681	451	208340432	35	28.11532	10.19281	24.00681	o2_uniq_peak_536
chr2	209113130	209113425	296	209113274	19	14.17329	7.2295	10.36296	o2_uniq_peak_537
chr2	209806875	209807341	467	209807155	21	11.84157	5.52229	8.10534	o2_uniq_peak_538
chr2	210039987	210040336	350	210040159	31	17.47007	6.24793	13.57122	o2_uniq_peak_539
chr2	210387753	210388262	510	210388009	110	147.94817	37.13322	142.30202	o2_uniq_peak_540
chr2	211773181	211773695	515	211773438	77	79.30049	19.57902	74.51128	o2_uniq_peak_541
chr2	211929885	211930318	434	211930089	35	31.13503	11.76144	26.97619	o2_uniq_peak_542
chr2	212245761	212246147	387	212245964	46	22.75909	5.90279	18.74933	o2_uniq_peak_543
chr2	213200129	213200533	405	213200285	31	17.90151	6.42767	13.99335	o2_uniq_peak_544
chr2	214613090	214613422	333	214613287	20	10.97103	5.27127	7.26749	o2_uniq_peak_545
chr2	215485408	215485782	375	215485610	30	20.37253	7.74428	16.41301	o2_uniq_peak_546
chr2	219391485	219391983	499	219391738	64	67.74094	19.37258	63.11129	o2_uniq_peak_547
chr2	220142209	220142615	407	220142415	17	14.15154	7.74249	10.34233	o2_uniq_peak_548
chr2	220144451	220144867	417	220144653	27	22.39352	9.60995	18.3928	o2_uniq_peak_549
chr2	223289921	223290374	454	223290147	32	21.11204	7.62688	17.1369	o2_uniq_peak_550
chr2	224904663	224905017	355	224904808	21	15.30445	7.35974	11.46108	o2_uniq_peak_551
chr2	226962877	226963172	296	226963067	11	8.0679	5.3655	4.49364	o2_uniq_peak_552
chr2	227420391	227420709	319	227420538	25	12.67204	5.22248	8.90961	o2_uniq_peak_553
chr2	229900913	229901378	466	229901147	51	42.74802	12.26855	38.42575	o2_uniq_peak_554
chr2	229934950	229935337	388	229935164	55	25.3592	5.62725	21.30231	o2_uniq_peak_555
chr2	231259120	231259520	401	231259329	18	12.22871	6.35614	8.4768	o2_uniq_peak_556
chr2	232319932	232320280	349	232320105	16	11.07294	6.14507	7.36224	o2_uniq_peak_557
chr2	232339548	232339920	373	232339738	24	16.50852	7.25989	12.63484	o2_uniq_peak_558
chr2	233124956	233125357	402	233125146	32	16.04147	5.52478	12.18276	o2_uniq_peak_559
chr2	233399870	233400233	364	233400034	20	20.16946	10.52833	16.21377	o2_uniq_peak_560
chr2	233597401	233597707	307	233597590	10	6.33714	4.44977	2.88969	o2_uniq_peak_561
chr2	236663811	236664461	651	236664113	208	301.69116	54.20477	294.06616	o2_uniq_peak_562
chr2	236716817	236717325	509	236717065	79	82.15208	20.08105	77.32237	o2_uniq_peak_563
chr3	404671	405199	529	404939	44	43.48165	15.05401	39.14681	o2_uniq_peak_564
chr3	1631913	1632265	353	1632107	19	13.06844	6.59759	9.29078	o2_uniq_peak_565
chr3	2124400	2125230	831	2124849	16	14.99825	8.52293	11.1651	o2_uniq_peak_566
chr3	3552881	3553276	396	3553072	9	6.94913	4.99754	3.45236	o2_uniq_peak_567
chr3	4708792	4709117	326	4708961	24	14.56439	6.27533	10.7419	o2_uniq_peak_568
chr3	5955694	5956341	648	5956009	46	45.52846	15.35521	41.17011	o2_uniq_peak_569
chr3	8881483	8881835	353	8881647	22	13.30019	6.05762	9.51648	o2_uniq_peak_570
chr3	10685494	10686027	534	10685741	58	75.83523	26.73228	71.09876	o2_uniq_peak_571
chr3	10769198	10769671	474	10769449	42	33.63112	10.79356	29.43373	o2_uniq_peak_572
chr3	10844319	10844850	532	10844586	55	55.02229	16.69023	50.54728	o2_uniq_peak_573
chr3	11213311	11213764	454	11213515	20	20.4697	10.70915	16.50369	o2_uniq_peak_574
chr3	12882934	12883277	344	12883117	20	11.1566	5.36449	7.44422	o2_uniq_peak_575
chr3	14335631	14335996	366	14335819	29	18.47215	7.07801	14.55288	o2_uniq_peak_576
chr3	14348198	14348575	378	14348334	18	7.3232	3.81643	3.79066	o2_uniq_peak_577
chr3	17180555	17181046	492	17180771	57	46.19653	12.01501	41.82885	o2_uniq_peak_578
chr3	19757047	19757342	296	19757192	12	10.22486	6.51754	6.5458	o2_uniq_peak_579
chr3	19838875	19839258	384	19839071	28	18.42852	7.27938	14.51069	o2_uniq_peak_580
chr3	21260519	21260814	296	21260656	18	7.3232	3.81643	3.79066	o2_uniq_peak_581
chr3	26330528	26331079	552	26330835	46	58.12973	22.4955	53.61806	o2_uniq_peak_582
chr3	27252751	27253300	550	27253026	90	87.2654	18.27869	82.37144	o2_uniq_peak_583
chr3	28919491	28919805	315	28919655	27	17.43926	7.02837	13.54479	o2_uniq_peak_584
chr3	30004864	30005401	538	30005113	68	72.159	19.86744	67.4706	o2_uniq_peak_585
chr3	30045821	30046316	496	30046057	72	56.92618	12.22147	52.42915	o2_uniq_peak_586
chr3	31556784	31557079	296	31557022	10	5.10205	3.67987	1.83075	o2_uniq_peak_587
chr3	31914925	31915355	431	31915139	47	33.32219	9.37189	29.12987	o2_uniq_peak_588
chr3	38167731	38168190	460	38167948	33	28.66129	11.10802	24.54566	o2_uniq_peak_589
chr3	41735476	41735798	323	41735624	10	6.25414	4.3974	2.82001	o2_uniq_peak_590
chr3	42086205	42086663	459	42086404	55	39.16839	9.80647	34.89227	o2_uniq_peak_591
chr3	43878423	43878935	513	43878684	76	109.88915	36.34223	104.71435	o2_uniq_peak_592
