gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d010971	3	mu1034842|mu1042362|mu1054336	UFMu-03279|UFMu-05354|UFMu-06772	>=3	NA	NA	NA	NA	FALSE	Zm00004b026762	One-to-Many	mRNA	no_change	NA
Zm00001d010972	7	mu1016184|mu1049531|mu1054337|mu1060966|mu1069829|mu1081852|mu1084111	UFMu-01646|UFMu-06498|UFMu-06541|UFMu-07811|UFMu-08344|UFMu-09514|UFMu-10342	>=3	NA	NA	NA	NA	FALSE	Zm00004b026763	One-to-One	mRNA	modifier	intron_variant
Zm00001d010973	1	mu1007560	UFMu-00296	1	NA	NA	NA	NA	FALSE	Zm00004b026764	One-to-One	mRNA	no_change	NA
Zm00001d010975	3	mu1039824|mu1042360|mu1078553	UFMu-03101|UFMu-04953|UFMu-09010	>=3	NA	NA	NA	NA	FALSE	Zm00004b026766	One-to-One	mRNA	no_change	NA
Zm00001d010976	1	mu1068485	UFMu-08493	1	NA	NA	NA	NA	FALSE	Zm00004b026767	One-to-One	mRNA	no_change	NA
Zm00001d010984	2	mu1034360|mu1093170	UFMu-03207|UFMu-13425,UFMu-13842	2	NA	NA	NA	NA	FALSE	Zm00004b026771	One-to-One	mRNA	no_change	NA
Zm00001d010985	1	mu1007663	UFMu-00576	1	NA	NA	NA	NA	FALSE	Zm00004b026772	One-to-One	mRNA	no_change	NA
Zm00001d010987	1	mu1068486	UFMu-08349	1	AP2	28	5	5/28	TRUE	Zm00004b026774	One-to-Many	mRNA	no_change	NA
Zm00001d011013	1	mu1045846	UFMu-05386	1	NA	NA	NA	NA	FALSE	Zm00004b026797	One-to-One	mRNA	no_change	NA
Zm00001d011023	3	mu1081858|mu1082116|mu1087165	UFMu-09980|UFMu-09980|UFMu-10762,UFMu-11141	>=3	NA	NA	NA	NA	FALSE	Zm00004b026804	One-to-One	mRNA	no_change	NA
Zm00001d011037	2	mu1020074|mu1068489	UFMu-00952|UFMu-08617	2	NA	NA	NA	NA	FALSE	Zm00004b026814	One-to-One	mRNA	no_change	NA
Zm00001d011049	2	mu1033380|mu1050762	UFMu-03275|UFMu-06500	2	NA	NA	NA	NA	FALSE	Zm00004b026826	One-to-One	mRNA	no_change	NA
Zm00001d011051	3	mu1031349|mu1069834|mu1093175	UFMu-02460|UFMu-08751|UFMu-11973	>=3	NA	NA	NA	NA	FALSE	Zm00004b026828	One-to-One	mRNA	no_change	NA
Zm00001d011060	1	mu1032579	UFMu-02715	1	NA	NA	NA	NA	FALSE	Zm00004b026835	One-to-One	mRNA	no_change	NA
Zm00001d011067	2	mu1018926|mu1028481	UFMu-01164|UFMu-01167	2	NA	NA	NA	NA	FALSE	Zm00004b026842	One-to-One	mRNA	no_change	NA
Zm00001d011068	3	mu1057797|mu1080042|mu1093179	UFMu-07579,UFMu-11084|UFMu-09398|UFMu-13335	>=3	NA	NA	NA	NA	FALSE	Zm00004b026843	One-to-One	mRNA	no_change	NA
Zm00001d011078	1	mu1016198	UFMu-01604	1	NA	NA	NA	NA	FALSE	Zm00004b026851	One-to-One	mRNA	no_change	NA
Zm00001d011087	5	mu1016200|mu1016200|mu1029102|mu1049537|mu1093181	UFMu-01110,UFMu-02809,UFMu-03169,UFMu-03778|UFMu-10010|UFMu-02775|UFMu-06440|UFMu-11726	>=3	NA	NA	NA	NA	FALSE	Zm00004b026857	One-to-Many	mRNA	no_change	NA
Zm00001d011089	4	mu1035439|mu1068497|mu1080047|mu1084117	UFMu-03508|UFMu-08597|UFMu-09304,UFMu-10000,UFMu-11187|UFMu-10388	>=3	NA	NA	NA	NA	FALSE	Zm00004b026860	One-to-One	mRNA	no_change	NA
Zm00001d011091	1	mu1018688	UFMu-01147	1	NA	NA	NA	NA	FALSE	Zm00004b026861	One-to-One	mRNA	no_change	NA
Zm00001d011099	1	mu1081860	UFMu-09476	1	NA	NA	NA	NA	FALSE	Zm00004b026869	One-to-One	mRNA	no_change	NA
Zm00001d011104	1	mu1016203	UFMu-02213	1	NA	NA	NA	NA	FALSE	Zm00004b026874	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d011108	3	mu1039831|mu1054350|mu1078565	UFMu-03942|UFMu-06712,UFMu-07264,UFMu-11159|UFMu-09399	>=3	NA	NA	NA	NA	FALSE	Zm00004b026877	One-to-One	mRNA	non-syntenic	intron_variant
Zm00001d011113	1	mu1045856	UFMu-05778	1	NA	NA	NA	NA	FALSE	Zm00004b026882	One-to-One	mRNA	no_change	NA
Zm00001d011118	4	mu1016204|mu1050376|mu1050377|mu1057802	UFMu-01999|UFMu-06034|UFMu-06118|UFMu-07414	>=3	NA	NA	NA	NA	FALSE	Zm00004b026885	One-to-One	mRNA	no_change	NA
Zm00001d011119	1	mu1088099	UFMu-10927	1	NA	NA	NA	NA	FALSE	Zm00004b026886	One-to-One	mRNA	no_change	NA
Zm00001d011125	1	mu1093187	UFMu-12627	1	NA	NA	NA	NA	FALSE	Zm00004b026891	One-to-One	mRNA	no_change	NA
Zm00001d011130	1	mu1075235	UFMu-05692	1	NA	NA	NA	NA	FALSE	Zm00004b026895	One-to-One	mRNA	no_change	NA
Zm00001d011131	1	mu1032769	UFMu-02634	1	NA	NA	NA	NA	FALSE	Zm00004b026896	One-to-One	mRNA	no_change	NA
Zm00001d011134	1	mu1041750	UFMu-04712	1	AP2	28	6	6/28	TRUE	Zm00004b026898	One-to-One	mRNA	no_change	NA
Zm00001d011140	1	mu1078570	UFMu-09088	1	NA	NA	NA	NA	FALSE	Zm00004b026903	One-to-One	mRNA	no_change	NA
Zm00001d011155	1	mu1039836	UFMu-03446	1	NA	NA	NA	NA	FALSE	Zm00004b026914	One-to-One	mRNA	no_change	NA
Zm00001d011165	2	mu1039838|mu1050755	UFMu-03467,UFMu-07472|UFMu-06034	2	NA	NA	NA	NA	FALSE	Zm00004b026924	One-to-One	mRNA	no_change	NA
Zm00001d011166	3	mu1060976|mu1068504|mu1085173	UFMu-07826|UFMu-08573|UFMu-10192	>=3	NA	NA	NA	NA	FALSE	Zm00004b026925	One-to-One	mRNA	no_change	NA
Zm00001d011172	1	mu1041753	UFMu-04772,UFMu-06510	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d011179	1	mu1087172	UFMu-11097	1	NA	NA	NA	NA	FALSE	Zm00004b026934	One-to-One	mRNA	no_change	NA
Zm00001d011180	1	mu1049555	UFMu-06455,UFMu-11250	1	NA	NA	NA	NA	FALSE	Zm00004b026935	One-to-One	mRNA	no_change	NA
Zm00001d011182	1	mu1093196	UFMu-12359	1	NA	NA	NA	NA	FALSE	Zm00004b026937	One-to-One	mRNA	no_change	NA
Zm00001d011187	1	mu1078575	UFMu-08896	1	bHLH	190	37	37/190	TRUE	Zm00004b026942	One-to-One	mRNA	no_change	NA
Zm00001d011197	1	mu1033031	UFMu-02895	1	NA	NA	NA	NA	FALSE	Zm00004b026950	One-to-One	mRNA	modifier	intron_variant
Zm00001d011198	3	mu1032131|mu1041755|mu1049557	UFMu-02540|UFMu-04621|UFMu-06220	>=3	NA	NA	NA	NA	FALSE	Zm00004b026951	One-to-One	mRNA	high	frameshift_variant
Zm00001d011210	1	mu1042348	UFMu-04896	1	NA	NA	NA	NA	FALSE	Zm00004b026960,Zm00004b026961,Zm00004b026963	Many-to-Many,Many-to-One	mRNA	no_change	NA
Zm00001d011211	1	mu1084127	UFMu-10217	1	NA	NA	NA	NA	FALSE	Zm00004b026963	One-to-Many	mRNA	no_change	NA
Zm00001d011217	1	mu1068506	UFMu-08565	1	NA	NA	NA	NA	FALSE	Zm00004b026967	One-to-One	mRNA	no_change	NA
Zm00001d011222	1	mu1054363	UFMu-06955	1	NA	NA	NA	NA	FALSE	Zm00004b026972	One-to-One	mRNA	no_change	NA
Zm00001d011223	1	mu1042346	UFMu-04889	1	C2H2	132	31	31/132	TRUE	Zm00004b026973	One-to-One	mRNA	moderate	missense_variant
Zm00001d011228	1	mu1039845	UFMu-02816	1	NA	NA	NA	NA	FALSE	Zm00004b026978	One-to-One	mRNA	high	frameshift_variant
Zm00001d011233	1	mu1023464	UFMu-02246	1	NA	NA	NA	NA	FALSE	Zm00004b026982	One-to-One	mRNA	moderate	missense_variant
Zm00001d011236	1	mu1041760	UFMu-04801,UFMu-05691,UFMu-08119,UFMu-10677,UFMu-11170	1	NA	NA	NA	NA	FALSE	Zm00004b026984	One-to-One	mRNA	no_change	NA
Zm00001d011242	1	mu1045862	UFMu-05793	1	NA	NA	NA	NA	FALSE	Zm00004b026995	One-to-One	mRNA	moderate	missense_variant
Zm00001d011252	1	mu1093204	UFMu-11297	1	MYB_related	109	22	22/109	TRUE	Zm00004b026999	One-to-One	mRNA	moderate	missense_variant
Zm00001d011263	1	mu1093206	UFMu-11879	1	NA	NA	NA	NA	FALSE	Zm00004b027010	One-to-One	mRNA	moderate	missense_variant
Zm00001d011275	1	mu1060983	UFMu-07938	1	NA	NA	NA	NA	FALSE	Zm00004b027018	One-to-One	mRNA	low	synonymous_variant
Zm00001d011285	1	mu1041762	UFMu-04762	1	NA	NA	NA	NA	FALSE	Zm00004b027025	One-to-One	mRNA	low	synonymous_variant
Zm00001d011298	1	mu1060985	UFMu-07998	1	NA	NA	NA	NA	FALSE	Zm00004b027030	One-to-One	mRNA	moderate	missense_variant
Zm00001d011302	1	mu1093210	UFMu-11933	1	NA	NA	NA	NA	FALSE	Zm00004b027034	One-to-One	mRNA	moderate	missense_variant
Zm00001d011308	1	mu1029601	UFMu-02967	1	NA	NA	NA	NA	FALSE	Zm00004b027038	One-to-One	mRNA	high	frameshift_variant
Zm00001d011309	1	mu1062114	UFMu-08336,UFMu-09043,UFMu-10892,UFMu-11278	1	NA	NA	NA	NA	FALSE	Zm00004b027039	One-to-One	mRNA	high	frameshift_variant
Zm00001d011312	1	mu1039851	UFMu-04039	1	NA	NA	NA	NA	FALSE	Zm00004b027041	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d011325	1	mu1087178	UFMu-10804	1	NA	NA	NA	NA	FALSE	Zm00004b027056	One-to-One	mRNA	moderate	missense_variant
Zm00001d011329	1	mu1093211	UFMu-12261	1	NA	NA	NA	NA	FALSE	Zm00004b027062	One-to-One	mRNA	moderate	missense_variant
Zm00001d011331	1	mu1034380	UFMu-03526	1	NA	NA	NA	NA	FALSE	Zm00004b027065	One-to-One	mRNA	low	synonymous_variant
Zm00001d011336	2	mu1049568|mu1084129	UFMu-06250|UFMu-10011	2	NA	NA	NA	NA	FALSE	Zm00004b027070	One-to-One	mRNA	low	synonymous_variant
Zm00001d011348	1	mu1081866	UFMu-09891	1	NA	NA	NA	NA	FALSE	Zm00004b027083,Zm00004b027084	Many-to-Many	mRNA	low	synonymous_variant
Zm00001d011351	2	mu1016224|mu1093215	UFMu-00987,UFMu-01682,UFMu-02198|UFMu-13209,UFMu-13474	2	NA	NA	NA	NA	FALSE	Zm00004b027088	One-to-One	mRNA	moderate	missense_variant
Zm00001d011352	1	mu1087180	UFMu-10671	1	NA	NA	NA	NA	FALSE	Zm00004b027089	One-to-One	mRNA	moderate	missense_variant
Zm00001d011355	1	mu1078582	UFMu-09029	1	C3H	55	13	13/55	TRUE	Zm00004b027091	One-to-One	mRNA	high	frameshift_variant
Zm00001d011357	5	mu1039854|mu1039855|mu1074524|mu1082007|mu1082626	UFMu-03723|UFMu-03208,UFMu-10863|UFMu-03723|UFMu-09476|UFMu-09531	>=3	NA	NA	NA	NA	FALSE	Zm00004b027096	One-to-One	mRNA	moderate	missense_variant
Zm00001d011362	1	mu1080052	UFMu-08988	1	NA	NA	NA	NA	FALSE	Zm00004b027100	One-to-One	mRNA	moderate	missense_variant
Zm00001d011363	1	mu1039856	UFMu-02835	1	NA	NA	NA	NA	FALSE	Zm00004b027102	One-to-One	mRNA	moderate	missense_variant
Zm00001d011365	2	mu1068511|mu1080053	UFMu-08574|UFMu-09264	2	NA	NA	NA	NA	FALSE	Zm00004b027104	One-to-One	mRNA	moderate	missense_variant
Zm00001d011366	1	mu1057830	UFMu-07574	1	NA	NA	NA	NA	FALSE	Zm00004b027105	One-to-One	mRNA	moderate	missense_variant
Zm00001d011378	1	mu1068512	UFMu-08288	1	NA	NA	NA	NA	FALSE	Zm00004b027112	One-to-One	mRNA	moderate	missense_variant
Zm00001d011386	1	mu1087183	UFMu-10825	1	NA	NA	NA	NA	FALSE	Zm00004b027118	One-to-One	mRNA	high	frameshift_variant
Zm00001d011395	1	mu1042148	UFMu-04885	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d011399	1	mu1049573	UFMu-06409	1	NA	NA	NA	NA	FALSE	Zm00004b027128	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d011411	1	mu1042336	UFMu-04894,UFMu-10955	1	NA	NA	NA	NA	FALSE	Zm00004b027135	One-to-One	mRNA	modifier	intron_variant
Zm00001d011425	1	mu1060994	UFMu-07937	1	NA	NA	NA	NA	FALSE	Zm00004b027146	One-to-One	mRNA	high	frameshift_variant
Zm00001d011426	1	mu1007519	UFMu-00192,UFMu-03443,UFMu-05787,UFMu-07532	1	NA	NA	NA	NA	FALSE	Zm00004b027147	One-to-One	mRNA	moderate	missense_variant
Zm00001d011428	1	mu1039865	UFMu-03839	1	NA	NA	NA	NA	FALSE	Zm00004b027149	One-to-One	mRNA	high	splice_donor_variant
Zm00001d011430	1	mu1087186	UFMu-11038	1	NA	NA	NA	NA	FALSE	Zm00004b027150	One-to-One	mRNA	non-syntenic	disruptive_inframe_deletion
Zm00001d011433	1	mu1095399	UFMu-13834	1	NA	NA	NA	NA	FALSE	Zm00004b027154	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d011451	1	mu1072381	UFMu-01889	1	NA	NA	NA	NA	FALSE	Zm00004b027166	One-to-One	mRNA	moderate	missense_variant
Zm00001d011457	1	mu1081871	UFMu-09891	1	NA	NA	NA	NA	FALSE	Zm00004b027170	One-to-One	mRNA	modifier	intron_variant
Zm00001d011459	1	mu1095401	UFMu-12965	1	NA	NA	NA	NA	FALSE	Zm00004b027172	One-to-One	mRNA	modifier	intron_variant
Zm00001d011471	2	mu1051453|mu1054378	UFMu-06221,UFMu-07136,UFMu-11141|UFMu-06941	2	NA	NA	NA	NA	FALSE	Zm00004b027180	One-to-One	mRNA	moderate	missense_variant
Zm00001d011495	1	mu1016236	UFMu-01760	1	NA	NA	NA	NA	FALSE	Zm00004b027196	One-to-One	mRNA	moderate	missense_variant
Zm00001d011504	1	mu1060998	UFMu-08041	1	NA	NA	NA	NA	FALSE	Zm00004b027204	One-to-One	mRNA	moderate	missense_variant
Zm00001d011510	1	mu1034467	UFMu-03297	1	NA	NA	NA	NA	FALSE	Zm00004b027209	One-to-One	mRNA	moderate	missense_variant
Zm00001d011525	1	mu1041770	UFMu-04454	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	disruptive_inframe_insertion
Zm00001d011526	1	mu1042332	UFMu-05008	1	NA	NA	NA	NA	FALSE	Zm00004b027222	One-to-One	mRNA	moderate	missense_variant
Zm00001d011527	1	mu1057837	UFMu-07178	1	WRKY	121	30	30/121	TRUE	Zm00004b027223	One-to-One	mRNA	low	splice_region_variant
Zm00001d011531	1	mu1087192	UFMu-10620	1	NA	NA	NA	NA	FALSE	Zm00004b027226	One-to-One	mRNA	moderate	missense_variant
Zm00001d011559	3	mu1008140|mu1009595|mu1095404	UFMu-00076|UFMu-00491|UFMu-13149	>=3	NA	NA	NA	NA	FALSE	Zm00004b027245	One-to-One	mRNA	moderate	missense_variant
Zm00001d011561	2	mu1022261|mu1039878	UFMu-02112|UFMu-03184	2	NA	NA	NA	NA	FALSE	Zm00004b027247	One-to-One	mRNA	no_change	NA
Zm00001d011562	1	mu1005638	UFMu-00432	1	NA	NA	NA	NA	FALSE	Zm00004b027248	One-to-One	mRNA	moderate	missense_variant
Zm00001d011563	3	mu1004051|mu1016245|mu1093225	UFMu-00268|UFMu-01262|UFMu-11284	>=3	NA	NA	NA	NA	FALSE	Zm00004b027249	One-to-One	mRNA	high	frameshift_variant
Zm00001d011570	3	mu1031309|mu1031309|mu1061001	UFMu-02510|UFMu-11009|UFMu-08145	>=3	NA	NA	NA	NA	FALSE	Zm00004b027253	One-to-One	mRNA	high	frameshift_variant
Zm00001d011571	3	mu1016246|mu1045880|mu1070540	UFMu-01243|UFMu-05381|UFMu-02510	>=3	Trihelix	46	11	11/46	TRUE	Zm00004b027254	One-to-One	mRNA	moderate	missense_variant
Zm00001d011579	1	mu1049581	UFMu-06521	1	NA	NA	NA	NA	FALSE	Zm00004b027260	One-to-One	mRNA	low	synonymous_variant
Zm00001d011581	1	mu1049582	UFMu-06512	1	NA	NA	NA	NA	FALSE	Zm00004b027262	One-to-One	mRNA	low	synonymous_variant
Zm00001d011595	1	mu1068522	UFMu-08328	1	NA	NA	NA	NA	FALSE	Zm00004b027271	One-to-One	mRNA	non-syntenic	splice_acceptor_variant
Zm00001d011597	1	mu1054391	UFMu-07008	1	E2F/DP	19	4	4/19	TRUE	Zm00004b027274	One-to-One	mRNA	moderate	missense_variant
Zm00001d011598	1	mu1016250	UFMu-02444	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	transcript_ablation
Zm00001d011599	1	mu1095405	UFMu-11934	1	NA	NA	NA	NA	FALSE	Zm00004b027275	One-to-One	mRNA	high	frameshift_variant
Zm00001d011610	2	mu1017688|mu1017688	UFMu-01181,UFMu-04281|UFMu-07481	2	NA	NA	NA	NA	FALSE	Zm00004b027282	One-to-One	mRNA	moderate	missense_variant
Zm00001d011625	1	mu1070542	UFMu-02672	1	NA	NA	NA	NA	FALSE	Zm00004b027298,Zm00004b027302	Many-to-One	mRNA	moderate	missense_variant
Zm00001d011626	1	mu1095406	UFMu-11705	1	NA	NA	NA	NA	FALSE	Zm00004b027299	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d011627	2	mu1029797|mu1093232	UFMu-02757,UFMu-03366|UFMu-11151	2	NA	NA	NA	NA	FALSE	Zm00004b027300	One-to-One	mRNA	high	stop_lost
Zm00001d011629	1	mu1093234	UFMu-11705	1	NA	NA	NA	NA	FALSE	Zm00004b027304	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d011632	1	mu1085182	UFMu-10004	1	NA	NA	NA	NA	FALSE	Zm00004b027307	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d011634	1	mu1093235	UFMu-13149	1	NA	NA	NA	NA	FALSE	Zm00004b027308	One-to-One	mRNA	low	synonymous_variant
Zm00001d011636	4	mu1034089|mu1039887|mu1054399|mu1095408	UFMu-03160|UFMu-04133|UFMu-06571|UFMu-11258,UFMu-13441,UFMu-13875	>=3	NA	NA	NA	NA	FALSE	Zm00004b027310	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d011638	1	mu1016256	UFMu-00895,UFMu-03026,UFMu-03161,UFMu-08145	1	NA	NA	NA	NA	FALSE	Zm00004b027312	One-to-One	mRNA	modifier	intron_variant
Zm00001d011644	1	mu1061005	UFMu-07939	1	NA	NA	NA	NA	FALSE	Zm00004b027319	One-to-One	mRNA	high	frameshift_variant
Zm00001d011648	1	mu1087200	UFMu-11043	1	NA	NA	NA	NA	FALSE	Zm00004b027322	One-to-One	mRNA	moderate	missense_variant
Zm00001d011649	1	mu1085183	UFMu-10186	1	NA	NA	NA	NA	FALSE	Zm00004b027323	One-to-One	mRNA	moderate	missense_variant
Zm00001d011650	1	mu1071461	UFMu-02654,UFMu-08993	1	NA	NA	NA	NA	FALSE	Zm00004b027324	One-to-One	mRNA	no_change	NA
Zm00001d011652	1	mu1039889	UFMu-02750	1	NA	NA	NA	NA	FALSE	Zm00004b027326	One-to-One	mRNA	low	synonymous_variant
Zm00001d011655	1	mu1031556	UFMu-02900	1	NA	NA	NA	NA	FALSE	Zm00004b027328	One-to-One	mRNA	high	start_lost
Zm00001d011680	2	mu1021772|mu1045883	UFMu-01462|UFMu-05590	2	NA	NA	NA	NA	FALSE	Zm00004b027347,Zm00004b027349	Many-to-One	mRNA	non-syntenic	missense_variant
Zm00001d011684	5	mu1035607|mu1042325|mu1061008|mu1088110|mu1093240	UFMu-03467|UFMu-05272|UFMu-08237|UFMu-10992|UFMu-11703	>=3	NA	NA	NA	NA	FALSE	Zm00004b027350	One-to-One	mRNA	high	frameshift_variant
Zm00001d011688	3	mu1039892|mu1042217|mu1070545	UFMu-03287|UFMu-05297|UFMu-02701	>=3	NA	NA	NA	NA	FALSE	Zm00004b027356	One-to-One	mRNA	low	synonymous_variant
Zm00001d011699	2	mu1008434|mu1071462	UFMu-00166|UFMu-02672	2	NA	NA	NA	NA	FALSE	Zm00004b027363	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d011712	1	mu1078605	UFMu-09010	1	B3	45	7	7/45	TRUE	Zm00004b027375	One-to-One	mRNA	non-syntenic	stop_retained_variant
Zm00001d011713	1	mu1087203	UFMu-10736	1	NA	NA	NA	NA	FALSE	Zm00004b027376	One-to-One	mRNA	non-syntenic	exon_loss_variant
Zm00001d011721	5	mu1016278|mu1039896|mu1049600|mu1068532|mu1074529	UFMu-01882|UFMu-03874|UFMu-06493|UFMu-08790|UFMu-03766	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d011730	3	mu1049601|mu1054405|mu1095412	UFMu-06119|UFMu-06690|UFMu-11223	>=3	Trihelix	46	12	12/46	TRUE	Zm00004b027391	One-to-One	mRNA	moderate	missense_variant
Zm00001d011731	1	mu1041776	UFMu-04534	1	NA	NA	NA	NA	FALSE	Zm00004b027395	One-to-One	mRNA	non-syntenic	start_lost
Zm00001d011735	1	mu1016279	UFMu-00767,UFMu-01869	1	NA	NA	NA	NA	FALSE	Zm00004b027401	One-to-One	mRNA	moderate	missense_variant
Zm00001d011746	1	mu1016281	UFMu-01998	1	NA	NA	NA	NA	FALSE	Zm00004b027412	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d011748	2	mu1057858|mu1093251	UFMu-07410|UFMu-11976	2	MIKC_MADS	42	8	8/42	TRUE	Zm00004b027415	One-to-One	mRNA	non-syntenic	splice_region_variant
Zm00001d011754	3	mu1074073|mu1081884|mu1095414	UFMu-04482|UFMu-09510|UFMu-12397	>=3	NA	NA	NA	NA	FALSE	Zm00004b027420	One-to-One	mRNA	no_change	NA
Zm00001d011755	1	mu1061014	UFMu-08146	1	NA	NA	NA	NA	FALSE	Zm00004b027421	One-to-One	mRNA	no_change	NA
Zm00001d011756	1	mu1068537	UFMu-08566	1	NA	NA	NA	NA	FALSE	Zm00004b027422	One-to-One	mRNA	modifier	intron_variant
Zm00001d011757	1	mu1068538	UFMu-08455	1	NA	NA	NA	NA	FALSE	Zm00004b027423	One-to-One	mRNA	no_change	NA
Zm00001d011762	1	mu1039901	UFMu-04179	1	NA	NA	NA	NA	FALSE	Zm00004b027427	One-to-One	mRNA	no_change	NA
Zm00001d011763	1	mu1093252	UFMu-11313	1	NA	NA	NA	NA	FALSE	Zm00004b027428	One-to-One	mRNA	moderate	missense_variant
Zm00001d011770	4	mu1034912|mu1045890|mu1071007|mu1095416	UFMu-03240|UFMu-05776,UFMu-10588|UFMu-02510|UFMu-13161	>=3	NA	NA	NA	NA	FALSE	Zm00004b027433	One-to-One	mRNA	no_change	NA
Zm00001d011785	1	mu1061016	UFMu-07873	1	G2-like	61	9	9/61	TRUE	Zm00004b027449	One-to-One	mRNA	no_change	NA
Zm00001d011786	1	mu1054412	UFMu-06678	1	NA	NA	NA	NA	FALSE	Zm00004b027450	One-to-One	mRNA	no_change	NA
Zm00001d011788	1	mu1039906	UFMu-04202	1	NA	NA	NA	NA	FALSE	Zm00004b027452	One-to-One	mRNA	no_change	NA
Zm00001d011792	2	mu1017247|mu1080065	UFMu-01674|UFMu-08896	2	NA	NA	NA	NA	FALSE	Zm00004b027458	One-to-One	mRNA	no_change	NA
Zm00001d011796	3	mu1017366|mu1039907|mu1078613	UFMu-00644|UFMu-04041|UFMu-09060	>=3	NA	NA	NA	NA	FALSE	Zm00004b027460	One-to-One	mRNA	no_change	NA
Zm00001d011797	1	mu1069849	UFMu-08796	1	NA	NA	NA	NA	FALSE	Zm00004b027461	One-to-One	mRNA	no_change	NA
Zm00001d011802	2	mu1049610|mu1061017	UFMu-05963|UFMu-08145	2	NA	NA	NA	NA	FALSE	Zm00004b027465	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d011819	1	mu1008930	UFMu-00215	1	NA	NA	NA	NA	FALSE	Zm00004b027480	One-to-One	mRNA	no_change	NA
Zm00001d011823	1	mu1093262	UFMu-13302	1	NA	NA	NA	NA	FALSE	Zm00004b027483	One-to-One	mRNA	no_change	NA
Zm00001d011826	1	mu1016286	UFMu-02153	1	NA	NA	NA	NA	FALSE	Zm00004b027485	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d011830	3	mu1030232|mu1039909|mu1078616	UFMu-02555|UFMu-02622,UFMu-04506|UFMu-09239	>=3	NA	NA	NA	NA	FALSE	Zm00004b027491	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d011843	1	mu1029983	UFMu-03053	1	SRS	9	2	2/9	TRUE	Zm00004b027506	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d011849	2	mu1018544|mu1039911	UFMu-00797|UFMu-03495	2	NA	NA	NA	NA	FALSE	Zm00004b027511,Zm00004b027512	Many-to-One	mRNA	non-syntenic	start_lost
Zm00001d011855	1	mu1078621	UFMu-09260,UFMu-10552	1	NA	NA	NA	NA	FALSE	Zm00004b027518,Zm00004b027519	Many-to-One	mRNA	moderate	missense_variant
Zm00001d011873	1	mu1035400	UFMu-03543,UFMu-06773	1	NA	NA	NA	NA	FALSE	Zm00004b027534	One-to-One	mRNA	moderate	missense_variant
Zm00001d011874	2	mu1016291|mu1084153	UFMu-01867|UFMu-10405	2	NA	NA	NA	NA	FALSE	Zm00004b027535	One-to-One	mRNA	moderate	missense_variant
Zm00001d011889	1	mu1061024	UFMu-08184	1	NA	NA	NA	NA	FALSE	Zm00004b027547	One-to-One	mRNA	low	synonymous_variant
Zm00001d011890	1	mu1068546	UFMu-08692	1	NA	NA	NA	NA	FALSE	Zm00004b027548	One-to-One	mRNA	moderate	missense_variant
Zm00001d011892	1	mu1049618	UFMu-05983	1	NA	NA	NA	NA	FALSE	Zm00004b027550	One-to-Many	mRNA	modifier	intron_variant
Zm00001d011901	1	mu1042309	UFMu-04872	1	NA	NA	NA	NA	FALSE	Zm00004b027559,Zm00004b027560	Many-to-One	mRNA	moderate	missense_variant
Zm00001d011902	2	mu1045896|mu1074902	UFMu-05940|UFMu-01105,UFMu-04169	2	NA	NA	NA	NA	FALSE	Zm00004b027561	One-to-One	mRNA	high	frameshift_variant
Zm00001d011912	1	mu1078632	UFMu-09400	1	NA	NA	NA	NA	FALSE	Zm00004b027568	One-to-One	mRNA	high	frameshift_variant
Zm00001d011920	1	mu1019530	UFMu-01137	1	NA	NA	NA	NA	FALSE	Zm00004b027574	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d011926	1	mu1087218	UFMu-10762,UFMu-11141	1	NA	NA	NA	NA	FALSE	Zm00004b027580	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d011953	1	mu1078636	UFMu-09051	1	ARF	36	7	7/36	TRUE	Zm00004b027598	One-to-One	mRNA	high	splice_donor_variant
Zm00001d011956	3	mu1039923|mu1068550|mu1085192	UFMu-02967|UFMu-08586|UFMu-10381	>=3	NA	NA	NA	NA	FALSE	Zm00004b027601	One-to-One	mRNA	modifier	intron_variant
