mid	sids	gid	etype	eidx
mu1021710	UFMu-01340,UFMu-03777,UFMu-06434	Zm00001d027334	cds	3
mu1021713	UFMu-01467	Zm00001d040752	cds	1
mu1021714	UFMu-01818	Zm00001d025750	utr5	2
mu1021715	UFMu-01806	Zm00001d036110	intron	1
mu1021718	UFMu-01554	Zm00001d018362	cds	4
mu1021719	UFMu-01806	Zm00001d029664	intron	1
mu1021720	UFMu-01472	Zm00001d053036	utr5	1
mu1021722	UFMu-01251	Zm00001d008631	utr5	1
mu1021726	UFMu-01233	Zm00001d028804	cds	1
mu1021730	UFMu-01773	Zm00001d047497	intron	1
mu1021731	UFMu-01435	Zm00001d001571	intron	1
mu1021733	UFMu-01226	Zm00001d028752	cds	1
mu1021736	UFMu-01417	Zm00001d014797	utr5	1
mu1021737	UFMu-01535,UFMu-08134,UFMu-09465	Zm00001d022043	cds	1
mu1021740	UFMu-01763	Zm00001d027969	utr5	1
mu1021741	UFMu-01219	Zm00001d047453	intron	5
mu1021742	UFMu-01266	Zm00001d025589	cds	1
mu1021743	UFMu-02616	Zm00001d013419	intron	1
mu1021745	UFMu-01256	Zm00001d052558	cds	1
mu1021747	UFMu-01341,UFMu-06867	Zm00001d022166	utr5	1
mu1021749	UFMu-01429	Zm00001d001571	intron	1
mu1021751	UFMu-01806	Zm00001d027943	utr5	1
mu1021752	UFMu-01276	Zm00001d026014	utr5	1
mu1021753	UFMu-01266	Zm00001d015125	utr3	1
mu1021754	UFMu-01783	Zm00001d047923	intron	1
mu1021756	UFMu-01791	Zm00001d041322	utr5	1
mu1021758	UFMu-01646	Zm00001d034862	utr5	1
mu1021759	UFMu-01250	Zm00001d012672	utr3	1
mu1021761	UFMu-01672	Zm00001d053189	intron	1
mu1021764	UFMu-01295,UFMu-05296	Zm00001d002186	utr5	1
mu1021767	UFMu-01252	Zm00001d005507	utr5	1
mu1021768	UFMu-01248,UFMu-02826,UFMu-03292,UFMu-03786,UFMu-11122	Zm00001d027922	utr5	1
mu1021769	UFMu-01357	Zm00001d045913	cds	1
mu1021771	UFMu-01800	Zm00001d047477	intron	1
mu1021772	UFMu-01462	Zm00001d011680	cds	2
mu1021773	UFMu-01251,UFMu-08087	Zm00001d033726	utr5	1
mu1021774	UFMu-01898	Zm00001d039882	intron	1
mu1021775	UFMu-01773	Zm00001d014472	intron	1
mu1021777	UFMu-01233	Zm00001d006331	utr5	1
mu1021779	UFMu-01585	Zm00001d022399	cds	1
mu1021779	UFMu-01585	Zm00001d022400	utr5	1
mu1021780	UFMu-01386	Zm00001d028613	cds	1
mu1021781	UFMu-01231	Zm00001d033291	utr5	2
mu1021782	UFMu-01419	Zm00001d033642	utr5	1
mu1021784	UFMu-01459	Zm00001d007387	utr5	1
mu1021786	UFMu-01397	Zm00001d002149	utr5	1
mu1021787	UFMu-01270	Zm00001d022587	cds	1
mu1021788	UFMu-01804	Zm00001d019495	utr5	1
mu1021791	UFMu-01423	Zm00001d046881	cds	5
mu1021791_2	UFMu-01423	Zm00001d046933	cds	2
mu1021793	UFMu-01262	Zm00001d005424	cds	1
mu1021794	UFMu-00729	Zm00001d018441	cds	5
mu1021795	UFMu-04507,UFMu-05386	Zm00001d043151	utr5	1
mu1021795_2	UFMu-04507,UFMu-05386	Zm00001d046520	cds	1
mu1021798	UFMu-01243	Zm00001d034033	utr5	1
mu1021802	UFMu-01365	Zm00001d043920	cds	1
mu1021803	UFMu-01259	Zm00001d044089	intron	1
mu1021804	UFMu-01804	Zm00001d038537	cds	1
mu1021807	UFMu-01266	Zm00001d001999	intron	1
mu1021808	UFMu-01625,UFMu-10008,UFMu-06508	Zm00001d036285	utr5	1
mu1021809	UFMu-01467	Zm00001d050163	utr5	1
mu1021811	UFMu-01236	Zm00001d017653	cds	1
mu1021815	UFMu-01276	Zm00001d015469	utr5	1
mu1021818	UFMu-01459	Zm00001d021278	intron	1
mu1021819	UFMu-01369	Zm00001d051287	utr5	1
mu1021820	UFMu-01271	Zm00001d020001	intron	3
mu1021821	UFMu-01353,UFMu-13209,UFMu-13492	Zm00001d039614	utr5	1
mu1021822	UFMu-01281	Zm00001d052354	cds	2
mu1021823_2	UFMu-05386	Zm00001d007204	utr5	1
mu1021824	UFMu-04507,UFMu-05386	Zm00001d045598	cds	1
mu1021825	UFMu-01764,UFMu-02838	Zm00001d038868	utr5	1
mu1021826	UFMu-01410	Zm00001d052763	cds	3
mu1021827	UFMu-01412,UFMu-04561,UFMu-06518,UFMu-11353	Zm00001d012087	utr5	1
mu1021828	UFMu-01479	Zm00001d014024	intron	1
mu1021831	UFMu-01245	Zm00001d047920	cds	2
mu1021833	UFMu-01408	Zm00001d002504	utr5	1
mu1021834	UFMu-01818,UFMu-03221	Zm00001d011588	utr5	1
mu1021835	UFMu-01251	Zm00001d004473	utr5	1
mu1021836	UFMu-01243	Zm00001d001898	utr5	1
mu1021839	UFMu-01678	Zm00001d006065	cds	6
mu1021843	UFMu-01691	Zm00001d041993	utr5	1
mu1021844	UFMu-01365,UFMu-01951	Zm00001d013005	utr5	1
mu1021845	UFMu-01760	Zm00001d051759	cds	2
mu1021846	UFMu-04561,UFMu-01412	Zm00001d012418	intron	1
mu1021849	UFMu-01357	Zm00001d048299	intron	1
mu1021850	UFMu-01431	Zm00001d026383	cds	2
mu1021851	UFMu-05781	Zm00001d041092	utr5	1
mu1021856	UFMu-01410	Zm00001d017525	utr5	1
mu1021857	UFMu-01660,UFMu-10448	Zm00001d029010	cds	1
mu1021858	UFMu-11330,UFMu-01695	Zm00001d039330	utr5	1
mu1021860	UFMu-01460	Zm00001d008236	utr5	1
mu1021861	UFMu-01429	Zm00001d033108	cds	2
mu1021862	UFMu-01232	Zm00001d024598	intron	1
mu1021863	UFMu-01469	Zm00001d034372	utr5	1
mu1021873	UFMu-01251	Zm00001d006097	cds	3
mu1021875	UFMu-01464	Zm00001d010834	utr5	1
mu1021876	UFMu-01591	Zm00001d008970	utr5	1
mu1021877_2	UFMu-01450	Zm00001d032831	utr5	1
mu1021878	UFMu-01431	Zm00001d036533	utr5	1
mu1021879	UFMu-01467	Zm00001d024393	intron	1
mu1021880	UFMu-01280	Zm00001d009359	intron	1
mu1021882	UFMu-01393	Zm00001d003491	intron	10
mu1021891	UFMu-01410	Zm00001d024530	utr5	2
mu1021892	UFMu-01411,UFMu-07350	Zm00001d043834	utr5	1
mu1021893	UFMu-01527	Zm00001d049225	utr5	1
mu1021898	UFMu-01450	Zm00001d011705	utr5	1
mu1021899	UFMu-01796	Zm00001d004512	utr5	1
mu1021902	UFMu-01420,UFMu-11313	Zm00001d036689	cds	1
mu1021904	UFMu-12842	Zm00001d052731	cds	1
mu1021906	UFMu-07357	Zm00001d052865	utr5	1
mu1021909	UFMu-00862	Zm00001d034166	cds	9
mu1021926	UFMu-01730,UFMu-10868	Zm00001d022417	utr5	1
mu1021930	UFMu-01240	Zm00001d036425	intron	5
mu1021931	UFMu-01612,UFMu-11275	Zm00001d007081	intron	1
mu1021941	UFMu-01569,UFMu-05123	Zm00001d039157	utr5	1
mu1021943	UFMu-02193	Zm00001d003474	intron	1
mu1021943_2	UFMu-02193	Zm00001d003474	intron	1
mu1021947	UFMu-01684,UFMu-07517	Zm00001d043134	utr5	1
mu1021952	UFMu-04894,UFMu-07329	Zm00001d031902	utr5	1
mu1021953	UFMu-07312	Zm00001d022594	cds	1
mu1021954	UFMu-09321	Zm00001d041954	utr5	1
mu1021955	UFMu-01110,UFMu-03479,UFMu-07286,UFMu-07808	Zm00001d034965	intron	2
mu1021962	UFMu-07891,UFMu-11262	Zm00001d001571	intron	1
mu1021962	UFMu-07891,UFMu-11262	Zm00001d014896	intron	1
mu1021963	UFMu-01806	Zm00001d048888	cds	1
mu1021965	UFMu-01581	Zm00001d037485	utr5	1
mu1021969	UFMu-01806	Zm00001d037413	utr3	1
mu1021970	UFMu-01263	Zm00001d021754	intron	2
mu1021979	UFMu-01433	Zm00001d046468	intron	17
mu1021985	UFMu-01703,UFMu-02596,UFMu-06827,UFMu-07763	Zm00001d039185	cds	1
mu1021986	UFMu-01421	Zm00001d051656	intron	3
mu1021987	UFMu-01251	Zm00001d020946	utr5	1
mu1021989	UFMu-01525	Zm00001d038820	utr5	1
mu1021993	UFMu-01721	Zm00001d042690	intron	7
mu1021997	UFMu-01320	Zm00001d052239	cds	1
mu1021999	UFMu-01251	Zm00001d010791	intron	3
mu1022001	UFMu-01646	Zm00001d042526	intron	10
mu1022004_4	UFMu-01333	Zm00001d008286	cds	3
mu1022005	UFMu-01795,UFMu-03694,UFMu-04236,UFMu-05424,UFMu-06485	Zm00001d042166	intron	1
mu1022007	UFMu-01275	Zm00001d038775	intron	1
mu1022011	UFMu-01407	Zm00001d012849	utr5	1
mu1022016	UFMu-01411	Zm00001d015065	utr3	1
mu1022021	UFMu-01262	Zm00001d039321	intron	3
mu1022021_2	UFMu-01262	Zm00001d015446	intron	27
mu1022025	UFMu-01335	Zm00001d034678	utr5	1
mu1022026	UFMu-09600	Zm00001d031332	utr5	1
mu1022028	UFMu-01290	Zm00001d052820	utr5	1
mu1022033	UFMu-01416,UFMu-02517,UFMu-09486	Zm00001d037142	intron	1
mu1022037	UFMu-01454	Zm00001d008911	intron	1
mu1022038	UFMu-01572,UFMu-04077,UFMu-05149,UFMu-05831	Zm00001d025291	utr5	1
mu1022041	UFMu-01816	Zm00001d038257	utr5	1
mu1022043	UFMu-01346	Zm00001d012237	intron	1
mu1022045	UFMu-01213	Zm00001d040203	utr5	1
mu1022046_2	UFMu-01220	Zm00001d000226	intron	4
mu1022048	UFMu-01369	Zm00001d044480	intron	1
mu1022049	UFMu-01765	Zm00001d031997	utr5	1
mu1022051	UFMu-01783	Zm00001d022367	intron	4
mu1022057	UFMu-01433	Zm00001d043843	intron	9
mu1022061	UFMu-01682	Zm00001d015473	intron	2
mu1022102	UFMu-06802,UFMu-02232	Zm00001d049617	utr5	1
mu1022103	UFMu-02115	Zm00001d042312	intron	1
mu1022104	UFMu-02017	Zm00001d034669	cds	1
mu1022105	UFMu-02231	Zm00001d026084	intron	2
mu1022109	UFMu-02386,UFMu-04864	Zm00001d012033	utr5	1
mu1022110	UFMu-02151	Zm00001d023736	intron	1
mu1022111	UFMu-02153	Zm00001d014813	intron	15
mu1022119	UFMu-02420	Zm00001d047421	cds	1
mu1022122	UFMu-02112,UFMu-09416	Zm00001d029376	utr5	1
mu1022123	UFMu-01883	Zm00001d034112	cds	1
mu1022124	UFMu-02043	Zm00001d004086	utr5	1
mu1022128	UFMu-01891	Zm00001d018428	utr5	1
mu1022129	UFMu-01862	Zm00001d034918	intron	12
mu1022130	UFMu-01858	Zm00001d052700	utr5	1
mu1022132	UFMu-03703,UFMu-05325,UFMu-05735,UFMu-07807,UFMu-13945	Zm00001d012153	intron	2
mu1022133	UFMu-02342	Zm00001d039456	utr5	1
mu1022135	UFMu-02207,UFMu-03390	Zm00001d035454	utr5	1
mu1022137	UFMu-03097	Zm00001d052905	utr5	1
mu1022138	UFMu-02252,UFMu-09898	Zm00001d026088	cds	1
mu1022139	UFMu-02421	Zm00001d028946	intron	3
mu1022140	UFMu-01867	Zm00001d037807	cds	1
mu1022141	UFMu-01984	Zm00001d002320	cds	1
mu1022147	UFMu-01872	Zm00001d035156	utr5	1
mu1022149	UFMu-01940,UFMu-03465,UFMu-12359	Zm00001d050567	cds	1
mu1022151	UFMu-02305	Zm00001d048487	utr5	1
mu1022156	UFMu-02391,UFMu-03154,UFMu-04264,UFMu-05302,UFMu-05630	Zm00001d010678	utr5	1
mu1022157	UFMu-01930,UFMu-04171	Zm00001d038672	intron	1
mu1022162	UFMu-02199	Zm00001d031732	intron	2
mu1022163	UFMu-02196	Zm00001d009645	cds	1
mu1022165	UFMu-01903,UFMu-12034,UFMu-13137,UFMu-13481	Zm00001d052901	intron	1
mu1022168	UFMu-02336	Zm00001d052200	utr5	1
mu1022169	UFMu-02344	Zm00001d032831	utr5	1
mu1022170	UFMu-02191	Zm00001d004821	utr5	1
mu1022171	UFMu-06489,UFMu-13149,UFMu-01833,UFMu-02490	Zm00001d045055	cds	1
mu1022172	UFMu-02264	Zm00001d044620	intron	1
mu1022174	UFMu-01971	Zm00001d034076	intron	3
mu1022176	UFMu-01831,UFMu-01879,UFMu-01936,UFMu-02201,UFMu-06277	Zm00001d007757	utr5	1
mu1022177	UFMu-02112	Zm00001d032652	utr5	1
mu1022178	UFMu-02220	Zm00001d047043	cds	1
mu1022180	UFMu-05579,UFMu-02353	Zm00001d015030	cds	2
mu1022182	UFMu-02050	Zm00001d051928	cds	1
mu1022183	UFMu-01930,UFMu-04171	Zm00001d014938	utr5	1
mu1022185	UFMu-01870	Zm00001d036878	utr5	1
mu1022186	UFMu-01404,UFMu-10406,UFMu-14000	Zm00001d019354	intron	1
mu1022187	UFMu-02155	Zm00001d033997	intron	3
mu1022188	UFMu-05759,UFMu-02324	Zm00001d031323	utr5	1
mu1022191	UFMu-02114	Zm00001d051847	cds	1
mu1022192	UFMu-01883	Zm00001d023839	utr5	1
mu1022195	UFMu-02328	Zm00001d039106	cds	2
mu1022196	UFMu-02114	Zm00001d032334	utr5	1
mu1022197	UFMu-02203	Zm00001d019087	intron	1
mu1022200	UFMu-02269	Zm00001d045264	cds	2
mu1022201	UFMu-02196,UFMu-07180	Zm00001d047057	cds	1
mu1022201	UFMu-02196,UFMu-07180	Zm00001d047058	utr5	1
mu1022202	UFMu-02229	Zm00001d031866	cds	1
mu1022203	UFMu-01919	Zm00001d008929	utr3	1
mu1022204	UFMu-01983	Zm00001d053765	utr5	1
mu1022205	UFMu-02414,UFMu-04656	Zm00001d037150	utr5	1
mu1022206	UFMu-07752,UFMu-02144	Zm00001d028662	utr5	1
mu1022207	UFMu-02192	Zm00001d018382	utr5	1
mu1022210	UFMu-01857	Zm00001d008493	intron	1
mu1022213	UFMu-02327	Zm00001d017189	intron	1
mu1022214	UFMu-02306	Zm00001d008619	intron	1
mu1022217	UFMu-02335	Zm00001d003345	utr5	1
mu1022218	UFMu-02208,UFMu-06455	Zm00001d005036	intron	1
mu1022221	UFMu-02112,UFMu-05757,UFMu-13438,UFMu-13843	Zm00001d050033	utr5	1
mu1022223	UFMu-01871,UFMu-04991,UFMu-05988,UFMu-06724,UFMu-07907,UFMu-10699	Zm00001d015387	cds	3
mu1022230	UFMu-02410	Zm00001d036386	intron	1
mu1022231	UFMu-02356	Zm00001d038623	utr5	1
mu1022232	UFMu-01869	Zm00001d031024	utr5	1
mu1022233	UFMu-01867	Zm00001d000396	cds	1
mu1022234	UFMu-02266	Zm00001d028771	utr5	1
mu1022237	UFMu-02306,UFMu-04802,UFMu-05245,UFMu-05608,UFMu-06454	Zm00001d033340	cds	1
mu1022238	UFMu-02439	Zm00001d048570	cds	1
mu1022242	UFMu-01851	Zm00001d039750	intron	1
mu1022243	UFMu-02156	Zm00001d010919	utr5	1
mu1022246	UFMu-02418	Zm00001d052905	utr5	2
mu1022247	UFMu-02355	Zm00001d025268	utr5	1
mu1022249	UFMu-02114,UFMu-06513	Zm00001d026064	utr5	1
mu1022257	UFMu-01863	Zm00001d045470	cds	1
mu1022260	UFMu-02370	Zm00001d013589	intron	1
mu1022261	UFMu-02112	Zm00001d011561	cds	1
mu1022262	UFMu-01872	Zm00001d046508	utr5	1
mu1022264	UFMu-02115	Zm00001d002873	cds	1
mu1022270	UFMu-02180	Zm00001d042340	utr3	2
mu1022271	UFMu-01870	Zm00001d017202	cds	3
mu1022275	UFMu-02240,UFMu-03694,UFMu-04236,UFMu-06509	Zm00001d047392	utr5	1
mu1022277	UFMu-02053	Zm00001d049000	cds	1
mu1022281	UFMu-01883	Zm00001d037036	cds	1
mu1022285	UFMu-02271	Zm00001d048620	utr5	1
mu1022287	UFMu-02420	Zm00001d011276	utr5	1
mu1022288	UFMu-02308	Zm00001d015871	cds	3
mu1022291	UFMu-01979	Zm00001d012765	utr5	1
mu1022292	UFMu-02267	Zm00001d014760	intron	1
mu1022297	UFMu-09986	Zm00001d028477	utr5	1
mu1022299	UFMu-01866	Zm00001d022197	cds	1
mu1022300	UFMu-07233	Zm00001d031589	utr5	1
mu1022301	UFMu-02197	Zm00001d013676	utr5	1
mu1022302	UFMu-02344	Zm00001d004560	utr5	1
mu1022303	UFMu-02112	Zm00001d034571	utr5	1
mu1022306	UFMu-02263	Zm00001d028528	utr5	1
mu1022310	UFMu-02271	Zm00001d042755	utr5	1
mu1022311	UFMu-02354	Zm00001d035506	intron	1
mu1022312	UFMu-02252,UFMu-09463	Zm00001d012654	utr5	1
mu1022316	UFMu-03276	Zm00001d004918	cds	1
mu1022320	UFMu-03911,UFMu-08187	Zm00001d037481	utr5	1
mu1022322	UFMu-05287,UFMu-13972	Zm00001d029455	utr5	1
mu1022326	UFMu-01862	Zm00001d021522	intron	1
mu1022327	UFMu-02196	Zm00001d044193	intron	1
mu1022329	UFMu-02656	Zm00001d045055	cds	1
mu1022332	UFMu-01991	Zm00001d034361	utr5	1
mu1022333	UFMu-01880,UFMu-06756	Zm00001d041395	utr5	1
mu1022335	UFMu-02232,UFMu-06802	Zm00001d030717	cds	1
mu1022337	UFMu-06458,UFMu-06552	Zm00001d026386	intron	1
mu1022337_2	UFMu-06458,UFMu-06552	Zm00001d019036	intron	4
mu1022339	UFMu-02410	Zm00001d039403	utr5	1
mu1022340	UFMu-05294,UFMu-06990	Zm00001d018046	utr5	1
mu1022342	UFMu-02112	Zm00001d023784	intron	1
mu1022344	UFMu-06970,UFMu-04309,UFMu-01910	Zm00001d047761	utr5	1
mu1022346	UFMu-01872	Zm00001d047466	intron	2
mu1022348	UFMu-02363,UFMu-05762	Zm00001d036620	utr5	1
mu1022351	UFMu-01858	Zm00001d042133	utr5	1
mu1022352	UFMu-02112	Zm00001d025727	cds	6
mu1022353	UFMu-02343	Zm00001d046803	cds	1
mu1022354	UFMu-01886,UFMu-06936	Zm00001d051879	cds	1
mu1022355	UFMu-01828	Zm00001d027344	cds	1
mu1022356	UFMu-01903	Zm00001d012655	utr5	1
mu1022357	UFMu-02184	Zm00001d011447	utr5	1
mu1022358	UFMu-02239,UFMu-05776,UFMu-06403	Zm00001d015227	utr5	1
mu1022358	UFMu-02239,UFMu-05776,UFMu-06403	Zm00001d015228	intron	11
mu1022359	UFMu-02180	Zm00001d002742	utr3	1
mu1022362	UFMu-01198,UFMu-01856	Zm00001d039521	utr5	1
mu1022364	UFMu-02420	Zm00001d042908	utr5	1
mu1022365	UFMu-02112	Zm00001d023367	utr5	1
mu1022366	UFMu-02328	Zm00001d018177	cds	3
mu1022367	UFMu-02417	Zm00001d047764	intron	1
mu1022368	UFMu-04795,UFMu-05782,UFMu-06563,UFMu-09467,UFMu-11259	Zm00001d022565	utr5	1
mu1022369	UFMu-01876	Zm00001d022176	utr5	1
mu1022370	UFMu-02170	Zm00001d003928	intron	1
mu1022371	UFMu-01991	Zm00001d004709	utr5	1
mu1022372	UFMu-02006	Zm00001d012175	cds	1
mu1022373	UFMu-01883,UFMu-08350	Zm00001d021579	utr5	1
mu1022375	UFMu-02401	Zm00001d025657	utr5	1
mu1022376	UFMu-01910,UFMu-04557	Zm00001d010638	utr5	1
mu1022377	UFMu-01935,UFMu-02864	Zm00001d047973	utr3	1
mu1022378	UFMu-02165	Zm00001d052845	cds	1
mu1022379	UFMu-02189	Zm00001d017366	cds	1
mu1022380	UFMu-02112	Zm00001d049234	utr5	1
mu1022381	UFMu-02418,UFMu-02549,UFMu-05289,UFMu-05632	Zm00001d042214	cds	1
mu1022383	UFMu-01598,UFMu-05119,UFMu-06315	Zm00001d049948	utr5	1
mu1022385	UFMu-02199	Zm00001d031060	utr5	1
mu1022386	UFMu-06921	Zm00001d015180	intron	1
mu1022388	UFMu-02255	Zm00001d003224	utr5	1
mu1022389	UFMu-02337,UFMu-04342,UFMu-06763,UFMu-07436	Zm00001d035481	utr5	1
mu1022390	UFMu-01868	Zm00001d028007	utr5	1
mu1022391	UFMu-02338	Zm00001d018286	utr5	1
mu1022392	UFMu-02006	Zm00001d022201	utr5	1
mu1022393	UFMu-02413	Zm00001d022006	intron	1
mu1022394	UFMu-02414,UFMu-06648	Zm00001d049826	cds	1
mu1022395	UFMu-01977	Zm00001d047517	utr5	1
mu1022396	UFMu-02146,UFMu-09898	Zm00001d034788	intron	1
mu1022397	UFMu-01858	Zm00001d038625	utr5	1
mu1022399	UFMu-01964	Zm00001d025904	cds	1
mu1022400	UFMu-06598	Zm00001d006680	utr5	1
mu1022401	UFMu-02410	Zm00001d002814	utr5	1
mu1022402	UFMu-02338	Zm00001d012832	utr5	1
mu1022403	UFMu-02309	Zm00001d016640	utr5	1
mu1022405	UFMu-01872	Zm00001d047755	intron	11
mu1022406	UFMu-02298	Zm00001d026195	utr5	1
mu1022408	UFMu-02006,UFMu-07565	Zm00001d046568	utr5	1
mu1022409	UFMu-02298	Zm00001d022184	cds	1
mu1022410	UFMu-02252	Zm00001d032981	utr5	1
mu1022417	UFMu-02233,UFMu-09244	Zm00001d011095	utr5	1
mu1022418	UFMu-02410	Zm00001d003003	cds	1
mu1022419	UFMu-02271,UFMu-03264,UFMu-06434	Zm00001d030045	cds	1
mu1022420	UFMu-02418	Zm00001d025953	utr3	1
mu1022421	UFMu-01861	Zm00001d037194	utr5	1
mu1022422	UFMu-02163	Zm00001d026273	cds	1
mu1022423	UFMu-02269	Zm00001d039521	utr5	1
mu1022426	UFMu-01872,UFMu-03778	Zm00001d039660	utr5	1
mu1022427	UFMu-02413	Zm00001d049348	utr5	1
mu1022428	UFMu-02157	Zm00001d025469	utr5	1
mu1022433	UFMu-01886	Zm00001d047574	cds	1
mu1022435	UFMu-02006	Zm00001d010152	cds	1
mu1022435_2	UFMu-02006	Zm00001d010162	cds	1
mu1022437	UFMu-01871,UFMu-02897,UFMu-07431	Zm00001d003857	utr5	1
mu1022438	UFMu-02306,UFMu-03160,UFMu-04795	Zm00001d008214	cds	1
mu1022439	UFMu-01999	Zm00001d037114	intron	1
mu1022442	UFMu-04306,UFMu-06595	Zm00001d050310	utr5	1
mu1022447	UFMu-02186,UFMu-04490	Zm00001d033473	cds	1
mu1022448	UFMu-02252	Zm00001d053913	utr3	1
mu1022449	UFMu-00920,UFMu-04915,UFMu-09424	Zm00001d015446	utr5	1
mu1022450_2	UFMu-02218,UFMu-05556	Zm00001d012097	cds	1
mu1022454	UFMu-02196	Zm00001d034164	intron	2
mu1022454_2	UFMu-02196	Zm00001d034166	intron	3
mu1022454_3	UFMu-02196	Zm00001d034166	cds	9
mu1022455	UFMu-02218	Zm00001d051876	intron	1
mu1022458	UFMu-02253	Zm00001d038840	intron	2
mu1022459	UFMu-02264	Zm00001d052339	cds	1
mu1022460	UFMu-02036,UFMu-03741,UFMu-06586	Zm00001d049371	cds	1
mu1022462	UFMu-01998	Zm00001d043959	utr5	1
mu1022463	UFMu-02423	Zm00001d013300	intron	1
mu1022466	UFMu-01991	Zm00001d054076	intron	1
mu1022467	UFMu-01838	Zm00001d009813	utr5	1
mu1022468	UFMu-01865	Zm00001d052354	cds	1
mu1022471	UFMu-02621,UFMu-03114,UFMu-05572,UFMu-06421,UFMu-11976	Zm00001d030053	cds	1
mu1022474	UFMu-01976,UFMu-05061	Zm00001d032508	utr5	1
mu1022475	UFMu-02320,UFMu-10279,UFMu-12213,UFMu-13956	Zm00001d007032	utr5	1
mu1022476	UFMu-02444	Zm00001d001940	utr5	1
mu1022479	UFMu-11038,UFMu-02335,UFMu-02873,UFMu-06374,UFMu-06879	Zm00001d052044	utr5	1
mu1022481	UFMu-02122,UFMu-08359	Zm00001d042778	utr5	1
mu1022482	UFMu-01896	Zm00001d036936	intron	3
mu1022482_3	UFMu-01896	Zm00001d036940	intron	3
mu1022485	UFMu-02853	Zm00001d028007	utr5	1
mu1022487	UFMu-02271	Zm00001d028753	cds	1
mu1022490	UFMu-02115	Zm00001d003262	utr5	1
mu1022491	UFMu-01862	Zm00001d026475	utr5	1
mu1022492	UFMu-02291	Zm00001d047639	intron	3
mu1022494	UFMu-02112	Zm00001d034761	utr5	1
mu1022496	UFMu-02146	Zm00001d002784	utr5	1
mu1022502	UFMu-01948,UFMu-03304,UFMu-06935,UFMu-07264	Zm00001d020629	intron	2
mu1022503	UFMu-01146	Zm00001d034361	utr5	1
mu1022504	UFMu-02219	Zm00001d017106	utr5	1
mu1022507	UFMu-01940	Zm00001d039754	cds	1
mu1022508_2	UFMu-00779,UFMu-02998	Zm00001d012126	intron	7
mu1022512	UFMu-02157,UFMu-04226	Zm00001d047754	utr5	1
mu1022513	UFMu-01872	Zm00001d003039	cds	5
mu1022514	UFMu-02271	Zm00001d021877	cds	1
mu1022522	UFMu-02443	Zm00001d029214	utr5	1
mu1022528	UFMu-01921,UFMu-04517	Zm00001d008405	cds	1
mu1022531	UFMu-02327	Zm00001d002734	cds	1
mu1022534	UFMu-01932	Zm00001d052985	utr5	1
mu1022536	UFMu-08215,UFMu-02291,UFMu-11113	Zm00001d021525	cds	3
mu1022537	UFMu-02247	Zm00001d039142	utr5	1
mu1022540	UFMu-05116,UFMu-06515,UFMu-08241,UFMu-11016	Zm00001d030034	utr5	1
mu1022541	UFMu-06675,UFMu-02280,UFMu-04637	Zm00001d051823	utr3	1
mu1022543	UFMu-01906	Zm00001d044689	utr5	1
mu1022544	UFMu-06500,UFMu-02201	Zm00001d049610	utr5	1
mu1022546	UFMu-02263	Zm00001d048592	cds	3
mu1022547	UFMu-01866,UFMu-03657	Zm00001d053611	utr5	1
mu1022551	UFMu-02312	Zm00001d043387	utr5	1
mu1022554	UFMu-02021,UFMu-02885	Zm00001d030598	intron	1
mu1022556	UFMu-02240,UFMu-03782,UFMu-04373,UFMu-06312,UFMu-13758	Zm00001d035169	utr5	1
mu1022560	UFMu-02101	Zm00001d033670	utr5	1
mu1022565	UFMu-02368	Zm00001d052001	cds	1
mu1022567	UFMu-05290,UFMu-05761,UFMu-01999	Zm00001d034807	intron	1
mu1022568	UFMu-01889	Zm00001d027799	utr5	1
mu1022571	UFMu-02114	Zm00001d030579	utr5	1
mu1022572	UFMu-02196	Zm00001d029420	intron	1
mu1022573	UFMu-02298	Zm00001d037059	intron	1
mu1022575	UFMu-01870	Zm00001d007436	utr5	1
mu1022576	UFMu-01883	Zm00001d015065	utr3	1
mu1022577	UFMu-02328,UFMu-07612	Zm00001d011067	utr5	1
mu1022578	UFMu-02309	Zm00001d022381	utr5	1
mu1022579	UFMu-01828	Zm00001d003309	utr5	1
mu1022581	UFMu-02112	Zm00001d035004	utr5	1
mu1022582	UFMu-01871,UFMu-04168,UFMu-05520	Zm00001d052239	utr5	1
mu1022584	UFMu-02200	Zm00001d031958	utr5	1
mu1022585	UFMu-02384	Zm00001d012917	intron	2
mu1022587	UFMu-02201	Zm00001d030308	cds	1
mu1022592	UFMu-02201	Zm00001d027941	utr5	2
mu1022596	UFMu-01882	Zm00001d048551	utr5	1
mu1022597	UFMu-01872	Zm00001d012327	utr5	1
mu1022601	UFMu-04484	Zm00001d052990	intron	2
mu1022604	UFMu-02421	Zm00001d027625	utr5	1
mu1022606_3	UFMu-01847	Zm00001d041855	utr3	1
mu1022607	UFMu-01980	Zm00001d038258	utr5	1
mu1022608	UFMu-03659,UFMu-04985,UFMu-05970,UFMu-01834,UFMu-09516,UFMu-10325	Zm00001d023590	utr5	1
mu1022609	UFMu-02410	Zm00001d005727	utr5	1
mu1022610	UFMu-03295	Zm00001d036337	utr3	1
mu1022611	UFMu-02207	Zm00001d046221	intron	1
mu1022613	UFMu-02411	Zm00001d011513	intron	2
mu1022614	UFMu-01936	Zm00001d051039	utr5	1
mu1022615	UFMu-02356	Zm00001d009431	cds	1
mu1022617	UFMu-01881	Zm00001d013420	utr5	1
